fecha,latitud,longitud,alcaldia,colonia,temp,precip,humedad,viento,radiacion,presion,incidente
2019-06-19,19.353076,-99.01128,IZTAPALAPA,1A AMPLIACION SANTIAGO ACAHUALTEPEC,17.28,10.54,74.18,0.75,4.9111,74.63,Inundacion
2019-06-19,19.34731,-99.018079,IZTAPALAPA,XALPA II,17.28,10.54,74.18,0.75,4.9111,74.63,Inundacion
2019-06-19,19.34731,-99.018079,IZTAPALAPA,XALPA II,17.28,10.54,74.18,0.75,4.9111,74.63,Inundacion
2019-06-19,19.34731,-99.018079,IZTAPALAPA,XALPA II,17.28,10.54,74.18,0.75,4.9111,74.63,Inundacion
2019-06-19,19.34731,-99.018079,IZTAPALAPA,XALPA II,17.28,10.54,74.18,0.75,4.9111,74.63,Inundacion
2019-06-18,19.370499,-99.051288,IZTAPALAPA,RENOVACION,18.31,5.65,62.13,1.0,6.1068,74.63,Inundacion
2019-06-15,19.499992,-99.069943,GUSTAVO A. MADERO,SAN FELIPE DE JESUS I,17.47,1.17,64.14,0.86,6.9566,74.63,Inundacion
2019-06-15,19.501367,-99.071734,GUSTAVO A. MADERO,SAN FELIPE DE JESUS,17.47,1.17,64.14,0.86,6.9566,74.63,Encharcamiento
2019-06-15,19.493996,-99.068012,GUSTAVO A. MADERO,SAN FELIPE DE JESUS IV,17.47,1.17,64.14,0.86,6.9566,74.63,Inundacion
2019-03-05,19.2574,-99.129086,XOCHIMILCO,SANTA CRUZ XOCHITEPEC (PBLO),16.41,1.9,55.18,0.57,6.0089,74.73,Encharcamiento
2019-03-05,19.256757,-99.132149,XOCHIMILCO,SANTA CRUZ XOCHITEPEC (PBLO),16.41,1.9,55.18,0.57,6.0089,74.73,Inundacion
2019-03-05,19.256757,-99.132149,XOCHIMILCO,SANTA CRUZ XOCHITEPEC (PBLO),16.41,1.9,55.18,0.57,6.0089,74.73,Inundacion
2019-03-05,19.353853,-99.036695,IZTAPALAPA,SANTA MARIA AZTAHUACAN (EJ) II,16.38,1.25,55.18,0.68,6.0089,74.68,Inundacion
2019-03-05,19.353853,-99.036695,IZTAPALAPA,SANTA MARIA AZTAHUACAN (EJ) II,16.38,1.25,55.18,0.68,6.0089,74.68,Inundacion
2019-03-05,19.353853,-99.036695,IZTAPALAPA,SANTA MARIA AZTAHUACAN (EJ) II,16.38,1.25,55.18,0.68,6.0089,74.68,Inundacion
2019-03-05,19.381289,-99.100217,IZTACALCO,CARLOS ZAPATA VELA,16.41,1.9,55.18,0.57,6.0089,74.73,Inundacion
2019-03-05,19.373212,-99.018233,IZTAPALAPA,SANTA MARTHA ACATITLA,16.38,1.25,55.18,0.68,6.0089,74.68,Inundacion
2019-03-05,19.256757,-99.132149,XOCHIMILCO,SANTA CRUZ XOCHITEPEC (PBLO),16.41,1.9,55.18,0.57,6.0089,74.73,Inundacion
2019-03-05,19.256757,-99.132149,XOCHIMILCO,SANTA CRUZ XOCHITEPEC (PBLO),16.41,1.9,55.18,0.57,6.0089,74.73,Inundacion
